SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActivationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator,IcaoIdentifier,MinimumOperationalNetwork
23189.*A,AIRPORT,'MQY,4/22/21,ASO,MEM,TN,TENNESSEE,RUTHERFORD,TN,SMYRNA,SMYRNA,PU,PU,SMYRNA/RUTHERFORD ARPT AUTH,278 DOUG WARPOOLE RD.,"SMYRNA, TN 37167",    615-459-2651,JOHN BLACK,278 DOUG WARPOOLE RD.,"SMYRNA, TN 37167",    615-459-2651,36-00-32.2930N,129632.2930N,086-31-12.3230W,311472.3230W,E,543,S,02W,1995,957,ATLANTA,2,N,1700,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,N,BNA,NASHVILLE,,1-800-WX-BRIEF,,,,MQY,Y,10/1/42,O,IV A U 01/2001,NGPY,NO OBJECTION,N,N,N,Y,F,F,4102019,,100LLA,MAJOR,MAJOR,LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,118.5,Y,CG,N,,102,26,16,1,0,2,0,227,,5870,85019,52073,3632,1/31/20,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AMB,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KMQY,N
23287.*A,AIRPORT,'ABI,4/22/21,ASW,TEX,TX,TEXAS,TAYLOR,TX,ABILENE,ABILENE RGNL,PU,PU,CITY OF ABILENE,PO BOX 60,"ABILENE, TX 79604",    325-676-6206,DON GREEN,2933 AIRPORT BLVD SUITE 200,"ABILENE, TX 79602",    325-676-6367,32-24-40.8000N,116680.8000N,099-40-54.8000W,358854.8000W,E,1790,S,05E,2020,,DALLAS-FT WORTH,3,SE,1644,ZFW,ZCF,FORT WORTH,ZFW,ZCF,FORT WORTH,N,FTW,FORT WORTH,,1-800-WX-BRIEF,,,,ABI,Y,11/1/53,O,I B S 05/1973,NGY,NO OBJECTION,N,N,N,Y,F,F,8242017,,100LLA    A1+,MAJOR,MAJOR,NONE,HIGH/LOW,SS-SR,SS-SR,Y,122.95,,Y,CG,N,,79,17,8,1,,,,272,,8522,7260,16626,16475,8/8/17,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CHTR,SALES",Y-L,KABI,N
23328.*A,AIRPORT,'AMA,4/22/21,ASW,TEX,TX,TEXAS,POTTER,TX,AMARILLO,RICK HUSBAND AMARILLO INTL,PU,PU,CITY OF AMARILLO,PO BOX 1971,"AMARILLO, TX 79105",    806-378-3000,MICHAEL CONNER,10801 ARPT BLVD,"AMARILLO, TX 79111",    806-335-1671,35-13-09.7000N,126789.7000N,101-42-21.3000W,366141.3000W,E,3606,S,08E,2000,895,DALLAS-FT WORTH,7,E,3547,ZAB,ZCA,ALBUQUERQUE,ZAB,ZCA,ALBUQUERQUE,N,FTW,FORT WORTH,,1-800-WX-BRIEF,,,,AMA,Y,10/1/37,O,I B S 05/1973,NGPY3,NO OBJECTION,N,Y,N,Y,F,F,9152020,,100LLA1+,MAJOR,MAJOR,LOW,LOW,SEE RMK,SS-SR,Y,122.95,118.3,Y,CG,N,,18,11,6,0,,,,7099,,5837,7016,12583,15835,7/31/20,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KAMA,N
23337.22*A,AIRPORT,'LBX,4/22/21,ASW,TEX,TX,TEXAS,BRAZORIA,TX,ANGLETON/LAKE JACKSON,TEXAS GULF COAST RGNL,PU,PU,BRAZORIA COUNTY,BRAZORIA COUNTY COURTHOUSE,"ANGLETON, TX 77515",    979-849-5711,JEFF BILYEU,8000 AIRPORT WAY,"ANGLETON, TX 77515",    979-849-5755,29-06-31.1000N,104791.1000N,095-27-43.5000W,343663.5000W,E,25,S,05E,2000,,HOUSTON,4,SW,674,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,CXO,MONTGOMERY COUNTY,,1-800-WX-BRIEF,,,,LBX,Y,3/1/80,O,IV A U 08/1999,NGY,NO OBJECTION,,,,Y,S,F,6052019,,100LLA,MINOR,MAJOR,LOW,,SEE RMK,SS-SR,N,123,123,Y,CG,N,,22,1,0,0,0,0,0,520,,2890,27740,45831,1000,1/1/17,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","CHTR,INSTR,RNTL",Y-L,KLBX,N
23369.*A,AIRPORT,'AUS,4/22/21,ASW,TEX,TX,TEXAS,TRAVIS,TX,AUSTIN,AUSTIN-BERGSTROM INTL,PU,PU,CITY OF AUSTIN,PO BOX 1088,"AUSTIN, TX 78767",    512-974-2000,JACQUELINE YAFT,"3600 PRESIDENTIAL BLVD, SUITE 411","AUSTIN, TX 78719",    512-530-2242,30-11-40.2980N,108700.2980N,097-40-11.5540W,351611.5540W,E,541,S,04E,2020,,SAN ANTONIO,5,SE,4242,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,AUS,Y,7/1/43,O,I D S 06/1997,NGPY,NO OBJECTION,,Y,N,Y,F,F,12122019,9091976,100LLA,MINOR,MINOR,HIGH/LOW,,SS-SR,SS-SR,Y,122.95,,N,CG,N,,80,13,54,5,,22,,140426,,16025,634,43102,8540,10/31/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KAUS,N
23416.*A,AIRPORT,'BPT,4/22/21,ASW,TEX,TX,TEXAS,JEFFERSON,TX,BEAUMONT/PORT ARTHUR,JACK BROOKS RGNL,PU,PU,JEFFERSON COUNTY,1149 PEARL ST 4TH FLOOR,"BEAUMONT, TX 77701",    409-835-8466,ALEX RUPP,5000 JERRY WARE DR SUITE 100,"BEAUMONT, TX 77705",    409-719-4900,29-57-03.0000N,107823.0000N,094-01-14.5000W,338474.5000W,E,15,S,05E,1985,,HOUSTON,9,SE,1799,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,CXO,MONTGOMERY COUNTY,,1-800-WX-BRIEF,,,,BPT,Y,4/1/44,O,I A S 05/1973,NGPY3,NO OBJECTION,N,Y,N,Y,F,F,1162020,,100LLA,MINOR,MINOR,NONE,LOW,SEE RMK,SS-SR,Y,122.95,119.5,Y,CG,N,,60,8,16,5,,,,10,,2280,6102,8967,1000,12/31/19,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,CHTR,INSTR,RNTL",Y-L,KBPT,N
23499.*A,AIRPORT,'BRO,4/22/21,ASW,TEX,TX,TEXAS,CAMERON,TX,BROWNSVILLE,BROWNSVILLE/SOUTH PADRE ISLAND INTL,PU,PU,CITY OF BROWNSVILLE,BOX 911,"BROWNSVILLE, TX 78520",    956-542-4373,BRYANT WALKER,700 AMELIA EARHART,"BROWNSVILLE, TX 78521-5721",    956-542-4373,25-54-22.1000N,093262.1000N,097-25-33.6000W,350733.6000W,E,22,S,03E,2020,,BROWNSVILLE,4,E,1700,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,BRO,Y,9/1/37,O,I B S 05/1973,NGPY3,NO OBJECTION,Y,Y,N,Y,F,F,10212019,,100LLA,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SS-SR,Y,122.95,118.9,Y,CG,Y,,30,8,1,0,,,,4080,,7143,2635,7711,8776,12/31/17,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KBRO,N
23635.*A,AIRPORT,'CLL,4/22/21,ASW,TEX,TX,TEXAS,BRAZOS,TX,COLLEGE STATION,EASTERWOOD FLD,PU,PU,TEXAS A&M UNIVERSITY SYSTEM,301 TARROW STREET,"COLLEGE STATION, TX 77840",  (979) 775-9900,KEVIN DAVIS,"1 MCKENZIE TERMINAL BLVD, SUITE 112","COLLEGE STATION, TX 77845",  (979) 775-9901,30-35-16.9508N,110116.9508N,096-21-45.1600W,346905.1600W,E,320,S,03E,2020,,HOUSTON,3,SW,700,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,CXO,MONTGOMERY COUNTY,,1-800-WX-BRIEF,,,,CLL,Y,5/1/40,O,I B S 07/1973,NGY3,NO OBJECTION,Y,N,N,Y,F,F,2272020,,100LLA    A+,MAJOR,MAJOR,,,SEE RMK,SS-SR,Y,122.95,118.5,Y,CG,N,,19,3,14,1,0,,,168,,3541,8553,24058,18547,12/31/20,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AVNCS,CHTR,INSTR",Y-L,KCLL,N
23657.2*A,AIRPORT,'CRP,4/22/21,ASW,TEX,TX,TEXAS,NUECES,TX,CORPUS CHRISTI,CORPUS CHRISTI INTL,PU,PU,CITY OF CORPUS CHRISTI,1201 LEOPARD ST,"CORPUS CHRISTI, TX 78401-2825",    361-880-3220,FRED SEGUNDO,1000 INTERNATIONAL DR,"CORPUS CHRISTI, TX 78406",    361-289-0171,27-46-19.9000N,099979.9000N,097-30-08.7000W,351008.7000W,E,46,S,04E,2015,,BROWNSVILLE,5,W,2457,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,CRP,Y,7/1/60,O,I B S 05/1973,NGY,NO OBJECTION,N,Y,N,Y,F,F,11242020,,100LLA,MAJOR,MAJOR,HIGH,HIGH,SS-SR,SS-SR,Y,122.95,,Y,CG,N,,25,15,8,0,0,6,,7531,,8818,1229,15874,66631,12/31/19,FAA-EST,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KCRP,Y
23713.*A,AIRPORT,'DAL,4/22/21,ASW,TEX,TX,TEXAS,DALLAS,TX,DALLAS,DALLAS LOVE FLD,PU,PU,CITY OF DALLAS,CITY HALL,"DALLAS, TX 75201",    214-670-3011,MARK DUEBNER,"DEPARTMENT OF AVIATION, 7555 LEMMON AVENUE","DALLAS, TX 75209",    214-670-6073,32-50-45.4010N,118245.4010N,096-51-03.1560W,348663.1560W,E,486,S,03E,2020,,DALLAS-FT WORTH,5,NW,1300,ZFW,ZCF,FORT WORTH,ZFW,ZCF,FORT WORTH,N,FTW,FORT WORTH,,1-800-WX-BRIEF,,,,DAL,Y,10/1/37,O,I C S 05/1973,NGY,NO OBJECTION,N,Y,,,F,F,11012019,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SS-SR,SS-SR,Y,,,N,CG,N,,9,67,198,4,,,,144308,,30144,,54225,917,9/30/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AMB,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KDAL,N
23710.6*A,AIRPORT,'DFW,4/22/21,ASW,TEX,TX,TEXAS,TARRANT,TX,DALLAS-FORT WORTH,DALLAS-FORT WORTH INTL,PU,PU,CITIES OF DALLAS AND FT WORTH,PO BOX 619428,"DALLAS-FT WORTH, TX 75261",    972-574-3200,SEAN DONOHUE,PO BOX 619428,"DALLAS-FT WORTH, TX 75261",    972-973-3112,32-53-50.0390N,118430.0390N,097-02-15.7010W,349335.7010W,E,606,S,04E,2015,,DALLAS-FT WORTH,12,NW,17207,ZFW,ZCF,FORT WORTH,ZFW,ZCF,FORT WORTH,N,FTW,FORT WORTH,,1-800-WX-BRIEF,,,,DFW,Y,1/1/74,O,I E S 07/1973,NGY,NO OBJECTION,Y,N,N,Y,F,F,11222019,,100LLA,,,HIGH,HIGH,SS-SR,SS-SR,Y,122.95,,N,CG,Y,,,,,,,,,615799,,86854,,6166,209,10/31/19,FAA,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"AFRT,CARGO",Y-L,KDFW,N
23745.*A,AIRPORT,'DRT,4/22/21,ASW,TEX,TX,TEXAS,VAL VERDE,TX,DEL RIO,DEL RIO INTL,PU,PU,DEL RIO/VAL VERDE CTY,109 W BROADWAY STREET,"DEL RIO, TX 78840",  (830) 774-8610,JUAN C. ONOFRE,1104 WEST 10TH STREET,"DEL RIO, TX 78840",  (830) 734-4857,29-22-27.1450N,105747.1450N,100-55-37.7650W,363337.7650W,E,1002,E,08E,2000,,SAN ANTONIO,2,NW,268,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,DRT,Y,11/1/37,O,I A S 02/2005,NGY3,NO OBJECTION,Y,Y,N,Y,S,F,8152019,,100LLA,MAJOR,MAJOR,,,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,25,4,0,4,1,0,0,1053,,2190,12650,716,4850,7/31/19,NACO,00:00.0,FAA,00:00.0,,"HGR,TIE","CARGO,RNTL,SALES",Y-L,KDRT,N
23830.*A,AIRPORT,'ELP,4/22/21,ASW,TEX,TX,TEXAS,EL PASO,TX,EL PASO,EL PASO INTL,PU,PU,CITY OF EL PASO,300 N. CAMPBELL,"EL PASO, TX 79901",  (915) 212-0000,SAM RODRIGUEZ,6701 CONVAIR RD,"EL PASO, TX 79925",    915-212-0333,31-48-26.4000N,114506.4000N,106-22-34.9000W,382954.9000W,E,3961,S,08E,2015,,EL PASO,4,NE,6670,ZAB,ZCA,ALBUQUERQUE,ZAB,ZCA,ALBUQUERQUE,N,ABQ,ALBUQUERQUE,,1-800-WX-BRIEF,,,,ELP,Y,11/1/38,O,I C S 05/1973,NGPRY3,NO OBJECTION,Y,Y,N,Y,F,F,1282021,9011992,100LLA1+  B+,MAJOR,MAJOR,LOW,LOW,SS-SR,SS-SR,Y,122.95,,N,CG,N,,178,28,26,10,1,,,33529,,11522,4427,18959,10298,7/31/20,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KELP,N
23882.2*A,AIRPORT,'GRK,4/22/21,ASW,TEX,TX,TEXAS,BELL,TX,FORT HOOD/KILLEEN,ROBERT GRAY AAF,MR,PU,US ARMY AERONAUTICAL SVCS AGENCY,,"FT BELVOIR, VA 22060",,MICHAEL WILSON,"8101 S CLEAR CREEK RD, BOX C","KILLEEN, TX 76549",    254.501.8701,31-04-02.1000N,111842.1000N,097-49-44.1000W,352184.1000W,E,1015,S,04E,2020,,SAN ANTONIO,6,SW,,ZHU,ZCH,HOUSTON,ZFW,ZCF,FORT WORTH,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,GRK,Y,,O,I E S 08/1990,NGY,NO OBJECTION,,,Y,N,F,F,8272020,3011976,A,,,,,SS-SR,SS-SR,Y,,120.75,N,SCG,,,,,1,,,40,,13397,,,,2654,73587,4/30/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,,,Y,KGRK,N
23895.3*A,AIRPORT,'AFW,4/22/21,ASW,TEX,TX,TEXAS,TARRANT,TX,FORT WORTH,FORT WORTH ALLIANCE,PU,PU,CITY OF FORT WORTH,1000 THROCKMORTON,"FORT WORTH, TX 76177",    817-392-6116,THOMAS J. HARRIS,2221 ALLIANCE BLVD SUITE 100,"FORT WORTH, TX 76177",    817-890-1000,32-59-25.3890N,118765.3890N,097-19-09.9860W,350349.9860W,E,723,S,04E,2015,,DALLAS-FT WORTH,14,N,1198,ZFW,ZCF,FORT WORTH,ZFW,ZCF,FORT WORTH,N,FTW,FORT WORTH,,1-800-WX-BRIEF,,,,AFW,Y,12/1/89,O,IV A U 12/1989,NGY,CONDITIONAL,N,Y,,Y,F,F,6212017,,100LLA1+,MAJOR,MAJOR,LOW,,SS-SR,SS-SR,Y,,,Y,CG,,,1,5,8,8,0,0,0,7874,,5436,43877,40897,14242,5/31/17,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AVNCS,CARGO",Y-L,KAFW,N
23887.*A,AIRPORT,'FTW,4/22/21,ASW,TEX,TX,TEXAS,TARRANT,TX,FORT WORTH,FORT WORTH MEACHAM INTL,PU,PU,CITY OF FORT WORTH,1000 THROCKMORTON ST.,"FORT WORTH, TX 76102-6311",    817-392-5400,AARON BARTH,"201 AMERICAN CONCOURSE, SUITE 330","FORT WORTH, TX 76106-2749",    817 392-5400,32-49-11.1730N,118151.1730N,097-21-44.8200W,350504.8200W,E,710,S,08E,1975,,DALLAS-FT WORTH,5,N,745,ZFW,ZCF,FORT WORTH,ZFW,ZCF,FORT WORTH,N,FTW,FORT WORTH,,1-800-WX-BRIEF,,,,FTW,Y,2/1/38,O,IV A U 12/1974,NGPY3,NO OBJECTION,N,Y,N,Y,F,F,4282016,,100LLA    A1+,MAJOR,MAJOR,HIGH,HIGH,SS-SR,SS-SR,Y,,,Y,CG,N,,126,66,98,24,1,0,1,96,,7927,69646,56950,1711,1/31/21,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AMB,AVNCS,CHTR,INSTR,RNTL,SALES,SURV",Y-L,KFTW,N
24012.*A,AIRPORT,'HRL,4/22/21,ASW,TEX,TX,TEXAS,CAMERON,TX,HARLINGEN,VALLEY INTL,PU,PU,CITY OF HARLINGEN,PO BOX 2207,"HARLINGEN, TX 78551-2207",  (956) 430-8605,MARV ESTERLY,"AIRPORT TERMINAL BUILDING,, 3200 HERITAGE WAY","HARLINGEN, TX 78550",    956-430-8605,26-13-37.6000N,094417.6000N,097-39-18.5000W,351558.5000W,E,36,S,05E,2005,,BROWNSVILLE,3,NE,2428,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,HRL,Y,7/1/43,O,I B S 05/1973,NGPY3,NO OBJECTION,N,Y,N,Y,F,F,3072019,,100LLA,MAJOR,MAJOR,HIGH,,SEE RMK,SS-SR,Y,122.95,119.3,Y,CG,N,,40,11,1,0,,,,7899,,1647,6679,9030,16672,2/28/19,3RD PARTY SURVEY,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KHRL,N
24067.3*A,AIRPORT,'EFD,4/22/21,ASW,TEX,TX,TEXAS,HARRIS,TX,HOUSTON,ELLINGTON,PU,PU,CITY OF HOUSTON,16930 JFK BLVD,"HOUSTON, TX 77032",    281-233-3000,ARTURO MACHUCA,BLDG 510 ELLINGTON FIELD,"HOUSTON, TX 77034",    713-847-4200,29-36-26.4000N,106586.4000N,095-09-31.5000W,342571.5000W,E,32,S,05E,2000,600,HOUSTON,15,SE,2362,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,FTW,FORT WORTH,,1-800-WX-BRIEF,,,,EFD,Y,6/1/42,O,IV A U 07/1987,NGPY,CONDITIONAL,,,N,Y,F,F,6012017,,100LLA,MAJOR,MAJOR,LOW,LOW,SS-SR,SS-SR,Y,122.95,,N,CG,,,33,8,31,0,0,25,0,2154,,9185,22189,41208,27533,12/31/16,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"CARGO,INSTR,RNTL",Y-L,KEFD,N
24071.1*A,AIRPORT,'IAH,4/22/21,ASW,TEX,TX,TEXAS,HARRIS,TX,HOUSTON,GEORGE BUSH INTCNTL/HOUSTON,PU,PU,CITY OF HOUSTON,PO BOX 60106,"HOUSTON, TX 77205",    281-233-3000,STEVEN HENNIGAN,PO BOX 60106,"HOUSTON, TX 77205",    281-230-3100,29-59-03.9670N,107943.9670N,095-20-29.1930W,343229.1930W,E,95,S,03E,2015,,HOUSTON,15,N,10000,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,CXO,MONTGOMERY COUNTY,,1-800-WX-BRIEF,,,,IAH,Y,1/1/63,O,I E S 05/1973,NGY,NO OBJECTION,N,Y,N,Y,F,F,3212019,,100LLA,MAJOR,MAJOR,NONE,LOW,SS-SR,SS-SR,Y,122.95,,N,CG,,,0,0,36,,,,,192856,,51990,,6209,200,1/31/21,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO",Y-L,KIAH,N
24071.*A,AIRPORT,'HOU,4/22/21,ASW,TEX,TX,TEXAS,HARRIS,TX,HOUSTON,WILLIAM P HOBBY,PU,PU,CITY OF HOUSTON,16930 JF KENNEDY BLVD,"HOUSTON, TX 77032",    281-233-3000,STEVEN HENNIGAN,PO BOX 60106,"HOUSTON, TX 77205",    281-230-3100,29-38-43.5000N,106723.5000N,095-16-44.0000W,343004.0000W,E,46,S,03E,2015,,HOUSTON,8,SE,1304,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,CXO,MONTGOMERY COUNTY,,1-800-WX-BRIEF,,,,HOU,Y,1/1/39,O,I C S 05/1973,NGY3,NO OBJECTION,N,Y,N,Y,F,F,2212019,,100LLA    A1,MINOR,MINOR,HIGH/LOW,HIGH/LOW,SS-SR,SS-SR,Y,122.95,,N,CG,N,,35,37,212,12,,,,123823,,36791,,58261,1586,1/31/20,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL",Y,KHOU,N
24194.*A,AIRPORT,'LRD,4/22/21,ASW,TEX,TX,TEXAS,WEBB,TX,LAREDO,LAREDO INTL,PU,PU,CITY OF LAREDO,PO BOX 579,"LAREDO, TX 78041",    956-791-7300,JEFF MILLER,5210 BOB BULLOCK LOOP,"LAREDO, TX 78041",    956-795-2000,27-32-39.1000N,099159.1000N,099-27-41.7000W,358061.7000W,E,508,S,05E,2020,,BROWNSVILLE,3,NE,1796,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,LRD,Y,,O,I B S 07/1975,NGPY,NO OBJECTION,Y,Y,N,Y,F,F,12102019,,100LLA,,MAJOR,LOW,LOW,SEE RMK,SS-SR,Y,122.95,120.1,Y,CG,N,,31,9,30,13,,8,,6689,,7941,10509,19425,34723,11/30/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KLRD,N
24239.*A,AIRPORT,'GGG,4/22/21,ASW,TEX,TX,TEXAS,GREGG,TX,LONGVIEW,EAST TEXAS RGNL,PU,PU,GREGG COUNTY,GREGG COUNTY COURTHOUSE,"LONGVIEW, TX 75601",    903-738-7606,ROY H. MILLER AAE,269 TERMINAL CIRCLE,"LONGVIEW, TX 75603",    903-643-3031,32-23-02.4000N,116582.4000N,094-42-41.4000W,340961.4000W,E,365,S,03E,2010,,MEMPHIS,8,S,1300,ZFW,ZCF,FORT WORTH,ZFW,ZCF,FORT WORTH,N,FTW,FORT WORTH,,1-800-WX-BRIEF,,,,GGG,Y,7/1/45,O,I A S 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,5222019,,100LLA,MAJOR,MAJOR,HIGH/LOW,NONE,SEE RMK,SS-SR,Y,122.95,119.2,Y,CG,N,,50,22,26,2,,,,70,,10087,25338,16003,4610,3/31/20,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,CHTR,INSTR,RNTL,SALES",Y-L,KGGG,N
24245.*A,AIRPORT,'LBB,4/22/21,ASW,TEX,TX,TEXAS,LUBBOCK,TX,LUBBOCK,LUBBOCK PRESTON SMITH INTL,PU,PU,CITY OF LUBBOCK,PO BOX 2000,"LUBBOCK, TX 79457",    806-775-3000,KELLY CAMPBELL,RT 3 BOX 389,"LUBBOCK, TX 79401",    806-775-3126,33-39-49.2000N,121189.2000N,101-49-14.0000W,366554.0000W,E,3282,S,06E,2020,,DALLAS-FT WORTH,4,N,3000,ZFW,ZCF,FORT WORTH,ZFW,ZCF,FORT WORTH,N,FTW,FORT WORTH,,1-800-WX-BRIEF,,,,LBB,Y,11/1/37,O,I C S 05/1973,NGPY,NO OBJECTION,N,Y,N,Y,F,F,7202017,,100LLA    A1+,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SS-SR,SS-SR,Y,122.95,,N,CG,N,,100,35,19,2,,,,12901,,17933,12953,24627,7052,5/31/17,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AMB,AVNCS,CHTR,INSTR,SALES",Y-L,KLBB,Y
24260.*A,AIRPORT,'MFE,4/22/21,ASW,TEX,TX,TEXAS,HIDALGO,TX,MC ALLEN,MC ALLEN MILLER INTL,PU,PU,CITY OF MC ALLEN,P O BOX 220,"MC ALLEN, TX 78502",    956-681-1000,ELIZABETH SUAREZ,2500 S BICENTENNIAL BLVD,"MC ALLEN, TX 78503-3140",    956-681-1500,26-10-33.0000N,094233.0000N,098-14-19.0000W,353659.0000W,E,107,S,04E,2020,,BROWNSVILLE,2,S,370,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,MFE,Y,1/1/40,O,I C S 05/1973,NGY,NO OBJECTION,Y,Y,N,Y,F,F,10232019,,100LLA,MAJOR,MAJOR,HIGH,,SEE RMK,SS-SR,Y,122.95,118.5,Y,CG,N,,49,21,17,11,,7,,9569,,4072,12969,26737,10121,10/31/18,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AMB,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KMFE,N
